dataset,condition_id,condition_name,shaft_speed_rpm,radial_load_kn,bearing_id,bearing_index,snapshot_index,relative_path,split,n_signal_samples,sampling_rate_hz,snapshot_duration_seconds,snapshot_interval_minutes,rul_minutes
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,1,35Hz12kN/Bearing1_1/1.csv,train,32768,25600,1.28,1,122
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,2,35Hz12kN/Bearing1_1/2.csv,train,32768,25600,1.28,1,121
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,3,35Hz12kN/Bearing1_1/3.csv,train,32768,25600,1.28,1,120
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,4,35Hz12kN/Bearing1_1/4.csv,train,32768,25600,1.28,1,119
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,5,35Hz12kN/Bearing1_1/5.csv,train,32768,25600,1.28,1,118
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,6,35Hz12kN/Bearing1_1/6.csv,train,32768,25600,1.28,1,117
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,7,35Hz12kN/Bearing1_1/7.csv,train,32768,25600,1.28,1,116
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,8,35Hz12kN/Bearing1_1/8.csv,train,32768,25600,1.28,1,115
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,9,35Hz12kN/Bearing1_1/9.csv,train,32768,25600,1.28,1,114
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,10,35Hz12kN/Bearing1_1/10.csv,train,32768,25600,1.28,1,113
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,11,35Hz12kN/Bearing1_1/11.csv,train,32768,25600,1.28,1,112
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,12,35Hz12kN/Bearing1_1/12.csv,train,32768,25600,1.28,1,111
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,13,35Hz12kN/Bearing1_1/13.csv,train,32768,25600,1.28,1,110
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,14,35Hz12kN/Bearing1_1/14.csv,train,32768,25600,1.28,1,109
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,15,35Hz12kN/Bearing1_1/15.csv,train,32768,25600,1.28,1,108
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,16,35Hz12kN/Bearing1_1/16.csv,train,32768,25600,1.28,1,107
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,17,35Hz12kN/Bearing1_1/17.csv,train,32768,25600,1.28,1,106
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,18,35Hz12kN/Bearing1_1/18.csv,train,32768,25600,1.28,1,105
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,19,35Hz12kN/Bearing1_1/19.csv,train,32768,25600,1.28,1,104
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,20,35Hz12kN/Bearing1_1/20.csv,train,32768,25600,1.28,1,103
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,21,35Hz12kN/Bearing1_1/21.csv,train,32768,25600,1.28,1,102
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,22,35Hz12kN/Bearing1_1/22.csv,train,32768,25600,1.28,1,101
